time (s),altitude (km),velocity (km / s)
0,127.60000000000036,10.020999999999999
10,127.90852970766537,10.020740759714112
20,128.83399908544015,10.01996324179866
30,130.37604909240054,10.018668054591844
40,132.534081973311,10.016856210375733
50,135.30726222558042,10.014529122962157
60,138.69451794802444,10.011688604329397
70,142.69454256648532,10.008336860325986
80,147.30579693003074,10.004476485462368
90,152.5265117700974,10.000110456815339
100,158.35469051372274,9.995242127074384
110,164.7881124407677,9.9898752167627
120,171.82433617390052,9.984013805669374
130,179.46070348903686,9.977662323532398
140,187.6943434329287,9.970825540015193
150,196.5221767336834,9.963508554021962
160,205.94092048915172,9.955716782399485
170,215.94709311739462,9.947455948074943
180,226.53701955278484,9.938732067680947
190,237.70683667073536,9.929551438720193
200,249.4524989235988,9.919920626323046
210,261.7697841699064,9.909846449651885
220,274.65429967884484,9.89933596800623
230,288.1014882917161,9.888396466682503
240,302.1066347219985,9.877035442641809
250,316.66487197567585,9.865260590038337
260,331.77118787357085,9.853079785659927
270,347.4204316575933,9.840501074330941
280,363.607320663079,9.827532654326099
290,380.32644703971255,9.814182862842035
300,397.5722845039336,9.800460161571351
310,415.3391951061649,9.786373122421791
320,433.62143599675437,9.771930413420769
330,452.4131661750671,9.757140784843077
340,471.70845320677654,9.742013055597
350,491.50127989509474,9.726556099901446
360,511.7855508923558,9.710778834284017
370,532.5550992390645,9.694690204927229
380,553.803692818341,9.678299175387293
390,575.5250407143722,9.661614714707289
400,597.7127994643233,9.644645785943734
410,620.3605791939317,9.627401335122956
420,643.4619496277674,9.609890280641144
430,667.0104459659797,9.592121503119364
440,690.9995746200957,9.574103835722447
450,715.4228188012212,9.55584605494834
460,740.2736439547625,9.537356871892259
470,765.5455030365056,9.51864492398793
480,791.2318416256485,9.499718767226172
490,817.3261028710403,9.480586868849246
500,843.8217322676046,9.46125760051766
510,870.7121822605195,9.44173923194453
520,897.9909166754114,9.422039924991074
530,925.6514149733457,9.40216772821556
540,953.6871763300223,9.382130571866735
550,982.0917235390543,9.361936263311739
560,1010.8586067397682,9.341592482887469
570,1039.9814069703698,9.321106780163625
580,1069.4537395477982,9.300486570604805
590,1099.2692572759834,9.279739132618522
600,1129.4216534845646,9.258871604975411
610,1159.9046649005204,9.237890984587544
620,1190.712074355407,9.216804124630372
630,1221.8377133312342,9.195617732993707
640,1253.2754643482303,9.174338371046849
650,1285.0192631979653,9.15297245270304
660,1317.0631010255247,9.131526243768286
670,1349.4010262645625,9.110005861559799
680,1382.0271464292264,9.088417274779266
690,1414.9356297670747,9.066766303626466
700,1448.1207067771684,9.045058620138898
710,1481.5766715976733,9.023299748743364
720,1515.2978832672634,9.001495067005752
730,1549.2787668647507,8.979649806565611
740,1583.5138145313576,8.957769054242442
750,1617.9975863800137,8.93585775330104
760,1652.7247112961304,8.913920704863605
770,1687.689887634222,8.89196256945678
780,1722.8878838147411,8.869987868682191
790,1758.3135388254468,8.848000986999507
800,1793.961762631574,8.826006173611507
810,1829.8275364989731,8.804007544441054
820,1865.9059132343973,8.782009084190365
830,1902.192017346959,8.760014648473406
840,1938.68104513471,8.73802796601269
850,1975.3682647002697,8.71605264089217
860,2012.249015899235,8.694092154858446
870,2049.318710225083,8.672149869662787
880,2086.572830634137,8.650229029437083
890,2124.006931314092,8.628332763097035
900,2161.6166373994474,8.606464086766506
910,2199.397644637136,8.584625906217157
920,2237.3457190054833,8.562821019318017
930,2275.456696289555,8.541052118489887
940,2313.726481615842,8.519321793159904
950,2352.1510489490684,8.497632532211902
960,2390.726440553897,8.475986726428513
970,2429.448766424117,8.45438667092127
980,2468.3142036817917,8.432834567545331
990,2507.318995948839,8.411332527295583
1000,2546.459452693258,8.38988257268134
1010,2585.731948552275,8.368486640076942
1020,2625.132922634448,8.347146582045891
1030,2664.65887780276,8.325864169636391
1040,2704.3063799406136,8.304641094646344
1050,2744.0720572025057,8.283478971856058
1060,2783.95259925115,8.262379341227165
1070,2823.944756482644,8.241343670066401
1080,2864.0453392412746,8.220373355153017
1090,2904.2512170253885,8.199469724828871
1100,2944.559317685753,8.178634041050307
1110,2984.966626617712,8.15786750140107
1120,3025.4701859483666,8.137171241065717
1130,3066.067093719974,8.116546334763019
1140,3106.754503070646,8.09599379863898
1150,3147.529621413383,8.075514592119294
1160,3188.3897096144483,8.055109619720989
1170,3229.3320811719404,8.034779732823278
1180,3270.3541013954637,8.014525731397605
1190,3311.4531865876907,7.994348365696964
1200,3352.626803228519,7.974248337904699
1210,3393.872467162577,7.954226303742989
1220,3435.18774279068,7.934282874041314
1230,3476.5702422658596,7.914418616265248
1240,3518.0176246944993,7.894634056005975
1250,3559.5275953431246,7.874929678430948
1260,3601.0979048512727,7.855305929696184
1270,3642.7263484509276,7.83576321832068
1280,3684.410765192879,7.816301916523517
1290,3726.149037180383,7.796922361524191
1300,3767.9390888104754,7.777624856806785
1310,3809.778886023203,7.758409673348565
1320,3851.6664355590656,7.739277050813661
1330,3893.5997842249326,7.7202271987124504
1340,3935.5770181685875,7.7012602975273
1350,3977.596262162184,7.6823764998053585
1360,4019.655678894702,7.663575931219029
1370,4061.753468273604,7.6448586915948455
1380,4103.887866735793,7.626224855911401
1390,4146.057146568002,7.607674475267023
1400,4188.25961523667,7.589207577817896
1410,4230.493614727433,7.570824169687287
1420,4272.757520894229,7.552524235846587
1430,4315.049742818095,7.534307740968814
1440,4357.368722175675,7.5161746302552865
1450,4399.712932617453,7.498124830236106
1460,4442.080879155723,7.4801582495451315
1470,4484.471097562257,7.462274779670092
1480,4526.882153775703,7.444474295678484
1490,4569.312643318637,7.4267566569199
1500,4611.761190724263,7.409121707705409
1510,4654.226448972675,7.391569277964622
1520,4696.707098936702,7.374099183881035
1530,4739.201848837176,7.356711228506272
1540,4781.709433707636,7.339405202353799
1550,4824.228614868354,7.322180883972696
1560,4866.758179409622,7.30503804050206
1570,4909.296939684185,7.287976428206586
1580,4951.843732808782,7.270995792993875
1590,4994.39742017465,7.254095870914006
1600,5036.956886966929,7.237276388641891
1610,5079.521041692851,7.220537063942924
1620,5122.088815718613,7.203877606122422
